id,section,title,body
13,,Energy Efficiency,"User notes:About this chapter: The purpose of Chapter 13 is to provide minimum design requirements that will promote efficient energy utilization in buildings. The requirements address the building thermal envelope, the selection of HVAC and lighting equipment, and the installation of controls that dictate efficient operation. Also promoted is efficient use of power where providing water and lighting to the users of the space.Code development reminder: This chapter will be updated utilizing the ICC Standard Development Process."
1301,Chapter 13 Energy Efficiency,General,
1301.1,Section 1301 General,Scope and Intent,The scope and intent of this chapter shall be as indicated in Sections C101.2 and C101.3 of the International Energy Conservation Code.
1301.1.1,Section 1301 General,Criteria,Buildings shall be designed and constructed in accordance with the International Energy Conservation Code.
