id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
13,,Energy Efficiency,Slab|Roof|Wall|Window,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,interior_environment,architect,"About this chapter: The purpose of Chapter 13 is to provide minimum design requirements that will promote efficient energy utilization in buildings. The requirements address the building thermal envelope, the selection of HVAC and lighting equipment, and the installation of controls that dictate efficient operation. Also promoted is efficient use of power where providing water and lighting to the users of the space. Code development reminder: Code change proposals to this chapter will be considered by the International Energy Conservation Code Development Committee during the 2022 (Group B) Code Development Cycle."
1301,Chapter 13 Energy Efficiency,General,,,,none,none,
1301.1,Section 1301 General,Scope,,,,,,This chapter governs the design and construction of buildings for energy efficiency.
1301.1.1,Section 1301 General,Criteria,Wall|Roof|Slab|Window|Door,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,assemblies_envelope,architect,Buildings shall be designed and constructed in accordance with the Energy Code.
