id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
32,,Encroachments Into the Public Right-of-Way,"The requirements of Chapter 32 are not adopted by the State of Oregon, Building Codes Division, as part of this code. Local municipalities may not regulate these matters under the authority of this code. A municipality may have authority outside of this code to regulate these matters locally, where not preempted.",Wall|Slab|Roof|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Mercantile (M)|Residential (R),sd|dd|cd,site_planning,architect
3201,Chapter 32 Encroachments Into the Public Right-of-Way,General,,,,,none,none
3202,Chapter 32 Encroachments Into the Public Right-of-Way,Encroachments,,,,,none,none
