id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
12,,Mechanical Administration,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,User notes:About this chapter: Chapter 12 supplements Chapter 1 and establishes the scope of coverage for Chapters 13 through 24. The applicability of code provisions to existing mechanical systems and appliances is established herein.Code development reminder: Code change proposals to this chapter will be considered by the IRC—Plumbing/Mechanical Code Development Committee during the 2021 (Group A) Code Development Cycle.
M1201,Chapter 12 Mechanical Administration,General,,,,none,none,
M1201.1,Chapter 12 Mechanical Administration,Scope,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,"The provisions of Chapters 12 through 24 shall regulate the design, installation, maintenance, alteration and inspection of mechanical systems that are permanently installed and used to control environmental conditions within buildings. These chapters shall also regulate those mechanical systems, system components, equipment and appliances specifically addressed in this code."
M1201.2,Chapter 12 Mechanical Administration,Application,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,"In addition to the general administration requirements of Chapter 1, the administrative provisions of this chapter shall apply to the mechanical requirements of Chapters 13 through 24."
M1202,Chapter 12 Mechanical Administration,Existing Mechanical Systems,,,,none,none,
M1202.1,Chapter 12 Mechanical Administration,"Additions, Alterations or Repairs",BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd|ca,mechanical_systems,mechanical_engineer,"Additions, alterations, renovations or repairs to a mechanical system shall conform to the requirements for a new mechanical system without requiring the existing mechanical system to comply with all of the requirements of this code. Additions, alterations or repairs shall not cause an existing mechanical system to become unsafe, hazardous or overloaded. Minor additions, alterations or repairs to existing mechanical systems shall meet the provisions for new construction, unless such work is done in the same manner and arrangement as was in the existing system, is not hazardous, and is approved."
M1202.2,Chapter 12 Mechanical Administration,Existing Installations,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer,"Except as otherwise provided for in this code, a provision in this code shall not require the removal, alteration or abandonment of, nor prevent the continued use and maintenance of, an existing mechanical system lawfully in existence at the time of the adoption of this code."
M1202.3,Chapter 12 Mechanical Administration,Maintenance,BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),ca,mechanical_systems,mechanical_engineer,"Mechanical systems, both existing and new, and parts thereof shall be maintained in proper operating condition in accordance with the original design and in a safe and sanitary condition. Devices or safeguards that are required by this code shall be maintained in compliance with the code edition under which such devices and safeguards were installed. The owner or the owner's designated agent shall be responsible for maintenance of the mechanical systems. To determine compliance with this provision, the building official shall have the authority to require a mechanical system to be reinspected."
