id,section,title,body
13,,Energy Efficiency,"User notes: About this chapter: The purpose of Chapter 13 is to provide minimum design requirements that will promote efficient energy utilization in buildings. The requirements address the building thermal envelope, the selection of HVAC and lighting equipment, and the installation of controls that dictate efficient operation. Also promoted is efficient use of power where providing water and lighting to the users of the space. Code development reminder: Code change proposals to this chapter will be considered by the International Energy Conservation Code Development Committee during the 2019 (Group B) Code Development Cycle. See explanation on page iv."
1301,Chapter 13 Energy Efficiency,General,
1301.1,Section 1301 General,Scope,This chapter governs the design and construction of buildings for energy efficiency.
1301.1.1,Section 1301 General,Criteria,Buildings shall be designed and constructed in accordance with the Energy Conservation Code of New York State.
