id,section,reference,title,depth,body
,,28,Chapter 28 Mechanical Systems,0,"User note: About this chapter: Mechanical systems are a key element of any building. Chapter 28 regulates such systems by linking to the International Mechanical Code® and International Fuel Gas Code®, where details of mechanical system requirements are provided."
28,Chapter 28 Mechanical Systems,2801,Section 2801 General,1,
28.2801,Section 2801 General,2801.1,[M]  2801.1 Scope,2,"The provisions of this chapter, the Mechanical Code of New York State and the Fuel Gas Code of New York State shall govern the design, construction, erection and installation of mechanical appliances, equipment and systems used in buildings and structures covered by this code. Masonry chimneys, fireplaces and barbecues shall comply with the Mechanical Code of New York State and Chapter 21 of this code. The Fire Code of New York State, the Property Maintenance Code of New York State, the Mechanical Code of New York State and the Fuel Gas Code of New York State shall govern the use and maintenance of mechanical components, appliances, equipment and systems. The Existing Building Code of New York State, the Mechanical Code of New York State and the Fuel Gas Code of New York State shall govern the alteration, repair, relocation, replacement and addition of mechanical components, appliances, equipment and systems."
