id,section,reference,title,depth,body
,,17,Chapter 17 Combustion Air,0,User notes:About this chapter: Chapter 17 applies only to oil-fired and solid fuel-fired appliances. Chapter 24 applies to combustion air for gas-fired appliances.Code development reminder: Code change proposals to this chapter will be considered by the IRC—Plumbing/Mechanical Code Development Committee during the 2024 (Group A) Code Development Cycle.
17,Chapter 17 Combustion Air,M1701,Section M1701 General,1,
17,Chapter 17 Combustion Air,M1701.1,M1701.1 Scope,2,"Solid fuel-burning appliances shall be provided with combustion air in accordance with the appliance manufacturer's installation instructions. Oil-fired appliances shall be provided with combustion air in accordance with NFPA 31. The methods of providing combustion air in this chapter do not apply to fireplaces, fireplace stoves and direct-vent appliances. The requirements for combustion and dilution air for gas-fired appliances shall be in accordance with Chapter 24."
17,Chapter 17 Combustion Air,M1701.2,M1701.2 Opening Location,2,"In flood hazard areas as established in Table R301.2, combustion air openings shall be located at or above the elevation required in Section R306.2.1 or R306.3.2."
