id,section,reference,title,depth,body
,,28,Chapter 28 Mechanical Systems,0,"User notes:About this chapter: Mechanical systems are a key element of any building. Chapter 28 regulates such systems by linking to the state mechanical code® and rule 661—301.9(103A)®, where details of mechanical system requirements are provided."
28,Chapter 28 Mechanical Systems,2801,Section 2801 General,1,
28.2801,Section 2801 General,2801.1,[M]  2801.1 Scope,2,"The provisions of this chapter, the state mechanical code and the rule 661—301.9(103A) shall govern the design, construction, erection and installation of mechanical appliances, equipment and systems used in buildings and structures covered by this code. Masonry chimneys, fireplaces and barbecues shall comply with the state mechanical code and Chapter 21 of this code. The International Fire Code, the International Property Maintenance Code, the state mechanical code and the rule 661—301.9(103A) shall govern the use and maintenance of mechanical components, appliances, equipment and systems. The International Existing Building Code, the state mechanical code and the rule 661—301.9(103A) shall govern the alteration, repair, relocation, replacement and addition of mechanical components, appliances, equipment and systems."
