id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
28,,Mechanical Systems,,,,,,
2801,Chapter 28 Mechanical Systems,General,,,,,,
2801.1,Section 2801 General,Scope,"Mechanical appliances, equipment and systems shall be constructed, installed and maintained in accordance with the International Mechanical Code and the International Fuel Gas Code. Masonry chimneys, fireplaces and barbecues shall comply with the International Mechanical Code and Chapter 21 of this code.",Chimney|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer
