id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
20.0,,Aluminum,User note: Code change proposals to this chapter will be considered by the IBC — Structural Code Development Committee during the 2016 (Group B) Code Development Cycle. See explanation on page iv.,,,,,
2001.0,Chapter 20 Aluminum,General,,,,,,
2001.1,Section 2001 General,Scope,"This chapter shall govern the quality, design, fabrication and erection of aluminum.",,,,,
2002.0,Chapter 20 Aluminum,Materials,,,,,,
2002.1,Section 2002 Materials,General,Aluminum used for structural purposes in buildings and structures shall comply with AA ASM 35 and AA ADM 1. The nominal loads shall be the minimum design loads required by Chapter 16.,,,,,
