id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
28,,Mechanical Systems,"User notes: About this chapter: Mechanical systems are a key element of any building. Chapter 28 regulates such systems by linking to the Mechanical Code of New York State and Fuel Gas Code of New York State, where details of mechanical system requirements are provided.",,,,,
2801,Chapter 28 Mechanical Systems,General,,,,,,
2801.1,Section 2801 General,Scope,"The provisions of this chapter, the Mechanical Code of New York State and the Fuel Gas Code of New York State shall govern the design, construction, erection and installation of mechanical appliances, equipment and systems used in buildings and structures covered by this code. Masonry chimneys, fireplaces and barbecues shall comply with the Mechanical Code of New York State and Chapter 21 of this code. The Fire Code of New York State, the Property Maintenance Code of New York State, the Mechanical Code of New York State and the Fuel Gas Code of New York State shall govern the use and maintenance of mechanical components, appliances, equipment and systems. The Existing Building Code of New York State, the Mechanical Code of New York State and the Fuel Gas Code of New York State shall govern the alteration, repair, relocation, replacement and addition of mechanical components, appliances, equipment and systems.",Chimney|BuildingElementProxy,Assembly (A)|Business (B)|Educational (E)|Factory and Industrial (F)|Residential (R),sd|dd|cd,mechanical_systems,mechanical_engineer
