id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
11,,[RE] Energy Efficiency,,Slab|Roof|Wall|Window|Covering,Assembly (A)|Business (B)|Educational (E)|Residential (R)|Mercantile (M),sd|dd|cd,assemblies_envelope,architect
N1101,Chapter 11 [RE] Energy Efficiency,General,,,,,none,none
N1101.1,Chapter 11 [RE] Energy Efficiency,Energy Efficiency,"The provisions of the Florida Building Code, Energy Conservation, shall govern the energy efficiency of residential construction.",,,,,
